"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
4,"Altenbruch, Lüdigwort, Nordleda",NA,"53,823983","8,774089","1439","1439","NDT","Niedersachsen",NA,"u","u",0,1439,8.774089,53.823983
1,"Altorf",NA,"47,311661","8,722229","1439","1439","CH","CH",NA,"u","u",0,1439,8.722229,47.311661
4,"Altstetten",NA,"47,38753","8,485842","1429","1429","CH","CH",NA,"u","u",0,1429,8.485842,47.38753
4,"Alzey, siebzehn Dörfer",NA,"49,751667","8,116111","1450","15. Jh","WMD","WMD",NA,"u","u",0,1450,8.116111,49.751667
6,"Anhausen Gussenstadt Mecklingen",NA,"48,6178","10,15042","1588","188, 1686-1688","WOD","Schwaben",NA,"au","au",1,1588,10.15042,48.6178
2,"Antweiler",NA,"50,403611","6,830556","1525","1525","WMD","WMD",NA,"au","au",1,1525,6.830556,50.403611
6,"Armorbach",NA,"49,643261","9,21899","1395","1395","MDT","Franken",NA,"u","u",0,1395,9.21899,49.643261
1,"Arzbach an der Lahn bei Ems",NA,"50,38","7,75","1694","1694","MDT","MDT",NA,"au","au",1,1694,7.75,50.38
1,"Aspizheim Gauspizheim bei Alzey","Aspisheim","49,9075","7,982222","1500","1500","WMD","WMD",NA,"au","au",1,1500,7.982222,49.9075
2,"Bacharach (Hundsrück)",NA,"50,061111","7,769444","1386","1386","WMD","WMD",NA,"u","u",0,1386,7.769444,50.061111
3,"Beber (zwischen Hülsede und Hamelspringe)",NA,"52,22","9,38","1659","1659","NDT","Niedersachsen",NA,"au","au",1,1659,9.38,52.22
1,"Becheln bei Braubach",NA,"50,293036","7,717928","1541","1541","MDT","MDT",NA,"au","au",1,1541,7.717928,50.293036
2,"Benrod (an der Saar)","Lampaden","49,648611","6,701944","1599","1599","WMD","WMD",NA,"au","au",1,1599,6.701944,49.648611
6,"Benzenzimmern bei Nördlingen",NA,"48,890156","10,436846","1450","1450","WOD","Schwaben",NA,"au","au",1,1450,10.436846,48.890156
3,"Berschampe","Blekede","53,2874","10,732","1503","1503","NDT","Niedersachsen",NA,"u","u",0,1503,10.732,53.2874
2,"Boelheim","Haus Bollheim","50,697898","6,711702","1413","1413","WMD","WMD",NA,"au","au",1,1413,6.711702,50.697898
2,"Boizweiler (Mosel)","Butzweiler","49,815863","6,619411","1539","1539","WMD","WMD",NA,"au","au",1,1539,6.619411,49.815863
1,"Borsikon",NA,"47,284205","8,487077","1412","1412","CH","CH",NA,"u","u",0,1412,8.487077,47.284205
5,"Boswil",NA,"47,30075","8,31289","1343","1343","CH","CH",NA,"u","u",0,1343,8.31289,47.30075
3,"Bruch (auch Feldbersche Bruch; bei Hannover)",NA,"52,3602269","9,656424468","1688","1688","NDT","Niedersachsen",NA,"au","au",1,1688,9.656424468,52.3602269
3,"Bruch (auch Feldbersche Bruch; bei Hannover)",NA,"52,3602269","9,656424468","1523","1523","NDT","Niedersachsen",NA,"au","au",1,1523,9.656424468,52.3602269
1,"Bubikon",NA,"47,269714","8,820278","1483","1483","CH","CH",NA,"u","u",0,1483,8.820278,47.269714
1,"Burgau",NA,"47,4059","9,2096","1469","1469","CH","CH",NA,"u","u",0,1469,9.2096,47.4059
5,"Carbe","Karben","50,230191","8,77297","1613","1613","MDT","Hessen",NA,"au","au",1,1613,8.77297,50.230191
3,"Carben (Großcarben, Kleincarben, Burggresenrodoe)",NA,"50,230191","8,77297","1499","1499","MDT","Hessen",NA,"au","au",1,1499,8.77297,50.230191
2,"Clüsserath (Mosel)",NA,"49,844167","6,853889","1546","1546","WMD","WMD",NA,"au","au",1,1546,6.853889,49.844167
2,"Cobern (Mosel)",NA,"50,309167","7,455556","1585","1585","WMD","WMD",NA,"au","au",1,1585,7.455556,50.309167
1,"Dachsen",NA,"47,665556","8,618883","1532","1532","CH","CH",NA,"u","u",0,1532,8.618883,47.665556
2,"Daleiden (Prüm)",NA,"50,069722","6,182222","1650","17.Jh.","WMD","WMD",NA,"au","au",1,1650,6.182222,50.069722
2,"Dalheim bei Dudeldorf Prüm",NA,"49,914639","6,592925","1472","1472","WMD","WMD",NA,"au","au",1,1472,6.592925,49.914639
3,"Ditterser Holz (bei Blumenau, Gehrden)",NA,"52,436136","9,452153","1606","1606","NDT","Niedersachsen",NA,"au","au",1,1606,9.452153,52.436136
6,"Dreieich",NA,"50,01888889","8,696111111","1338","1338","MDT","WMD",NA,"u","u",0,1338,8.696111111,50.01888889
2,"Dreis bei Wittlich",NA,"49,941008","6,817278","1453","1453","WMD","WMD",NA,"au","au",1,1453,6.817278,49.941008
3,"Eisenhausen (zwischen Marburg und Siegen)",NA,"50,841389","8,474722","1485","1485","MDT","Hessen",NA,"au","au",1,1485,8.474722,50.841389
3,"Elbermark (zwischen Wolfhagen und Fritzlar)",NA,"51,222","9,2","1440","1440","MDT","Hessen",NA,"u","u",0,1440,9.2,51.222
1,"Emmen",NA,"47,079","8,30251","1303","1303","CH","CH",NA,"u","u",0,1303,8.30251,47.079
4,"Engelberg Unterwalden",NA,"46,82083","8,402785","1413","1413","CH","CH",NA,"u","u",0,1413,8.402785,46.82083
6,"Epfendorf am Neckar",NA,"48,249444","8,598333","1550","16. Jh.","WOD","Schwaben",NA,"au","au",1,1550,8.598333,48.249444
5,"Eppishausen",NA,"47,54639","9,2412","1447","1447","CH","CH",NA,"au","au",1,1447,9.2412,47.54639
3,"Franken, ordnung des Kampfrechts am Landgericht zu Franken","Franken (Bad Weißenstadt)","50,08924","11,92019","1609","1609","OOD","Franken",NA,"au","au",1,1609,11.92019,50.08924
2,"Frauenberg (bei Zülpich)",NA,"50,684167","6,738889","1559","1559","WMD","WMD",NA,"au","au",1,1559,6.738889,50.684167
5,"Gebhardswil, Ufhofen und im Ruetlen","Gebhardswil","47","9","1466","1466","CH","CH",NA,"u","u",0,1466,9,47
2,"Göstingen",NA,"49,616667","6,35","1539","1539","WMD","WMD",NA,"au","au",1,1539,6.35,49.616667
3,"Gümmerwald (südl. von Hannover)",NA,"52,406944","9,530556","1605","1605","NDT","Niedersachsen",NA,"au","au",1,1605,9.530556,52.406944
5,"Haßloch",NA,"49,36305556","8,255833333","1492","1492","WMD","WMD",NA,"au","au",1,1492,8.255833333,49.36305556
3,"Heigenfeld (bei Dietershausen)",NA,"50,505556","9,795278","1453","1453","MDT","Hessen",NA,"u","u",0,1453,9.795278,50.505556
3,"Herrnbreitingen",NA,"50,75","10,35","1506","1506","MDT","Franken/Thüringen",NA,"au","au",1,1506,10.35,50.75
4,"Hochwald",NA,"49,675389","6,834889","1546","1546","WMD","WMD",NA,"au","au",1,1546,6.834889,49.675389
3,"Hohenhameln",NA,"52,26","10,066389","1579","1579","NDT","Niedersachsen",NA,"au","au",1,1579,10.066389,52.26
3,"Hollerrecht","Ottersberg","53,10834","9,14286","1604","1604","NDT","Westfalen",NA,"au","au",1,1604,9.14286,53.10834
3,"Holtmarke (bei Leerbek, Nesen)",NA,"52,264444","8,928889","1516","1516","NDT","Niedersachsen",NA,"u","u",0,1516,8.928889,52.264444
3,"Homer",NA,"51,782125","6,76852","1490","1490","NDT","Westfalen",NA,"u","u",0,1490,6.76852,51.782125
1,"Höngg an der Limmat",NA,"47,401979","8,499374","1338","1338","CH","CH",NA,"u","u",0,1338,8.499374,47.401979
3,"Hoppenbruch (bei Hannover, Blumenau)","Hopfenbruch","52,37974","9,56644","1605","1605","NDT","Niedersachsen",NA,"au","au",1,1605,9.56644,52.37974
1,"Ickstadt bei Epstein","Igstadt","50,080556","8,329167","1483","1483","MDT","MDT",NA,"au","au",1,1483,8.329167,50.080556
3,"Illhausen","Illnhausen","50,4","9,27","1460","1460","MDT","Hessen",NA,"u","u",0,1460,9.27,50.4
1,"Interlaken",NA,"46,683331","7,86666","1404","1404","CH","CH",NA,"u","u",0,1404,7.86666,46.683331
2,"Kempenich (Eifel)",NA,"50,419722","7,118889","1562","1562","WMD","WMD",NA,"au","au",1,1562,7.118889,50.419722
6,"Kempenich (Eifel)",NA,"50,419722","7,118889","1624","1624","WMD","WMD",NA,"au","au",1,1624,7.118889,50.419722
1,"Kirburg bei Bad Marienberg",NA,"50,6775","7,923333","1582","1582","MDT","MDT",NA,"au","au",1,1582,7.923333,50.6775
6,"Kirchheim am Neckar bei Besigheim",NA,"49,043889","9,146389","1497","1497","WOD","Schwaben",NA,"au","au",1,1497,9.146389,49.043889
1,"Kloster Engelberg Hofrodel",NA,"46,820556","8,409722","1290","13. Jh. Ende","CH","CH",NA,"u","u",0,1290,8.409722,46.820556
1,"Knonau",NA,"47,224996","8,461663","1461","1461","CH","CH",NA,"u","u",0,1461,8.461663,47.224996
1,"Kyburg bei Zürich",NA,"47,4571","8,74445","1505","vor 1506","CH","CH",NA,"u","u",0,1505,8.74445,47.4571
3,"Lauenstein",NA,"52,08","9,55","1578","1578","NDT","Niedersachsen",NA,"au","au",1,1578,9.55,52.08
4,"Leberach bei Schletsstadt",NA,"48,259444","7,454167","1202","13. Jh. Anfang","Elsass","Elsass",NA,"u","u",0,1202,7.454167,48.259444
3,"Lohr",NA,"49,99","9,58","1450","1425–1457","MDT","Franken",NA,"au","au",1,1450,9.58,49.99
