Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
2.0,Cobern (Mosel),,"50,309167","7,455556",1585,1585,WMD,WMD,,au,,7.455556,50.309167,1585.0,1.0
1.0,Dachsen,,"47,665556","8,618883",1532,1532,CH,CH,,u,,8.618883,47.665556,1532.0,0.0
2.0,Daleiden (Prüm),,"50,069722","6,182222",1650,17.Jh.,WMD,WMD,,au,,6.182222,50.069722,1650.0,1.0
2.0,Dalheim bei Dudeldorf Prüm,,"49,914639","6,592925",1472,1472,WMD,WMD,,au,,6.592925,49.914639,1472.0,1.0
3.0,"Ditterser Holz (bei Blumenau, Gehrden)",,"52,436136","9,452153",1606,1606,NDT,Niedersachsen,,au,,9.452153,52.436136,1606.0,1.0
6.0,Dreieich,,"50,01888889","8,696111111",1338,1338,MDT,WMD,,u,,8.696111111,50.01888889,1338.0,0.0
2.0,Dreis bei Wittlich,,"49,941008","6,817278",1453,1453,WMD,WMD,,au,,6.817278,49.941008,1453.0,1.0
3.0,Eisenhausen (zwischen Marburg und Siegen),,"50,841389","8,474722",1485,1485,MDT,Hessen,,au,,8.474722,50.841389,1485.0,1.0
3.0,Elbermark (zwischen Wolfhagen und Fritzlar),,"51,222","9,2",1440,1440,MDT,Hessen,,u,,9.2,51.222,1440.0,0.0
1.0,Emmen,,"47,079","8,30251",1303,1303,CH,CH,,u,,8.30251,47.079,1303.0,0.0
4.0,Engelberg Unterwalden,,"46,82083","8,402785",1413,1413,CH,CH,,u,,8.402785,46.82083,1413.0,0.0
6.0,Epfendorf am Neckar,,"48,249444","8,598333",1550,16. Jh.,WOD,Schwaben,,au,,8.598333,48.249444,1550.0,1.0
5.0,Eppishausen,,"47,54639","9,2412",1447,1447,CH,CH,,au,,9.2412,47.54639,1447.0,1.0
3.0,"Franken, ordnung des Kampfrechts am Landgericht zu Franken",Franken (Bad Weißenstadt),"50,08924","11,92019",1609,1609,OOD,Franken,,au,,11.92019,50.08924,1609.0,1.0
2.0,Frauenberg (bei Zülpich),,"50,684167","6,738889",1559,1559,WMD,WMD,,au,,6.738889,50.684167,1559.0,1.0
5.0,"Gebhardswil, Ufhofen und im Ruetlen",Gebhardswil,47,9,1466,1466,CH,CH,,u,,9.0,47.0,1466.0,0.0
2.0,Göstingen,,"49,616667","6,35",1539,1539,WMD,WMD,,au,,6.35,49.616667,1539.0,1.0
3.0,Gümmerwald (südl. von Hannover),,"52,406944","9,530556",1605,1605,NDT,Niedersachsen,,au,,9.530556,52.406944,1605.0,1.0
5.0,Haßloch,,"49,36305556","8,255833333",1492,1492,WMD,WMD,,au,,8.255833333,49.36305556,1492.0,1.0
3.0,Heigenfeld (bei Dietershausen),,"50,505556","9,795278",1453,1453,MDT,Hessen,,u,,9.795278,50.505556,1453.0,0.0
3.0,Herrnbreitingen,,"50,75","10,35",1506,1506,MDT,Franken/Thüringen,,au,,10.35,50.75,1506.0,1.0
4.0,Hochwald,,"49,675389","6,834889",1546,1546,WMD,WMD,,au,,6.834889,49.675389,1546.0,1.0
3.0,Hohenhameln,,"52,26","10,066389",1579,1579,NDT,Niedersachsen,,au,,10.066389,52.26,1579.0,1.0
3.0,Hollerrecht,Ottersberg,"53,10834","9,14286",1604,1604,NDT,Westfalen,,au,,9.14286,53.10834,1604.0,1.0
3.0,"Holtmarke (bei Leerbek, Nesen)",,"52,264444","8,928889",1516,1516,NDT,Niedersachsen,,u,,8.928889,52.264444,1516.0,0.0
3.0,Homer,,"51,782125","6,76852",1490,1490,NDT,Westfalen,,u,,6.76852,51.782125,1490.0,0.0
1.0,Höngg an der Limmat,,"47,401979","8,499374",1338,1338,CH,CH,,u,,8.499374,47.401979,1338.0,0.0
3.0,"Hoppenbruch (bei Hannover, Blumenau)",Hopfenbruch,"52,37974","9,56644",1605,1605,NDT,Niedersachsen,,au,,9.56644,52.37974,1605.0,1.0
1.0,Ickstadt bei Epstein,Igstadt,"50,080556","8,329167",1483,1483,MDT,MDT,,au,,8.329167,50.080556,1483.0,1.0
3.0,Illhausen,Illnhausen,"50,4","9,27",1460,1460,MDT,Hessen,,u,,9.27,50.4,1460.0,0.0
1.0,Interlaken,,"46,683331","7,86666",1404,1404,CH,CH,,u,,7.86666,46.683331,1404.0,0.0
2.0,Kempenich (Eifel),,"50,419722","7,118889",1562,1562,WMD,WMD,,au,,7.118889,50.419722,1562.0,1.0
6.0,Kempenich (Eifel),,"50,419722","7,118889",1624,1624,WMD,WMD,,au,,7.118889,50.419722,1624.0,1.0
1.0,Kirburg bei Bad Marienberg,,"50,6775","7,923333",1582,1582,MDT,MDT,,au,,7.923333,50.6775,1582.0,1.0
6.0,Kirchheim am Neckar bei Besigheim,,"49,043889","9,146389",1497,1497,WOD,Schwaben,,au,,9.146389,49.043889,1497.0,1.0
1.0,Kloster Engelberg Hofrodel,,"46,820556","8,409722",1290,13. Jh. Ende,CH,CH,,u,,8.409722,46.820556,1290.0,0.0
1.0,Knonau,,"47,224996","8,461663",1461,1461,CH,CH,,u,,8.461663,47.224996,1461.0,0.0
1.0,Kyburg bei Zürich,,"47,4571","8,74445",1505,vor 1506,CH,CH,,u,,8.74445,47.4571,1505.0,0.0
3.0,Lauenstein,,"52,08","9,55",1578,1578,NDT,Niedersachsen,,au,,9.55,52.08,1578.0,1.0
4.0,Leberach bei Schletsstadt,,"48,259444","7,454167",1202,13. Jh. Anfang,Elsass,Elsass,,u,,7.454167,48.259444,1202.0,0.0
3.0,Lohr,,"49,99","9,58",1450,1425–1457,MDT,Franken,,au,,9.58,49.99,1450.0,1.0
1.0,Loßburg Schemberg Biechlinsberg Renharzow,,"48,411389","8,453056",1539,1539,WOD,Schwaben,,au,,8.453056,48.411389,1539.0,1.0
5.0,Magdenau,,"47,40160262","9,17066575",1450,15. Jh.,CH,CH,,u,,9.17066575,47.40160262,1450.0,0.0
6.0,Maikammer,,"49,30638889","8,129444444",1577,1577,WMD,WMD,,au,,8.129444444,49.30638889,1577.0,1.0
6.0,Marbach im Rheinthal bei Altstetten St. Gallen,,"47,39202","9,56889",1487,1487,CH,CH,,u,,9.56889,47.39202,1487.0,0.0
3.0,Medebach,,"51,198056","8,704722",1580,1580,NDT,Westfalen,,au,,8.704722,51.198056,1580.0,1.0
5.0,Melbach,,"50,38055556","8,808333333",1475,1475,MDT,Hessen,,u,,8.808333333,50.38055556,1475.0,0.0
6.0,Moshaim bei Haidau Regensburg,,"48,925502","12,270934",1301,14. Jh. Anfang,OOD,Baiern,,au,,12.270934,48.925502,1301.0,1.0
3.0,Naumburg,,"51,247222","9,164722",1465,1465,MDT,Hessen,,au,,9.164722,51.247222,1465.0,1.0
3.0,Neukirchen,,"50,871389","9,343333",1486,1486,MDT,Hessen,,u,,9.343333,50.871389,1486.0,0.0
1.0,Nordenstat bei Wiesbaden,,"50,063889","8,343056",1426,1426,MDT,MDT,,au,,8.343056,50.063889,1426.0,1.0
6.0,Nürnberg,,"49,455556","11,078611",1365,"1294, 1365",,,,au,,11.078611,49.455556,1365.0,1.0
5.0,Oberuzwil,,"47,42972","9,12306",1436,1436,CH,CH,,u,,9.12306,47.42972,1436.0,0.0
5.0,Oberwoellstadt,Oberwöllstadt,50,9,1478,1478,MDT,Hessen,,u,,9.0,50.0,1478.0,0.0
1.0,Ossingen bei Andelfingen,,"47,613054","8,727215",1601,1601,CH,CH,,u,,8.727215,47.613054,1601.0,0.0
1.0,Ottenheim Ichenheim bei Mahlberg,,"48,375556","7,762222",1452,1452,WOD,Schwarzwald,,u,,7.762222,48.375556,1452.0,0.0
6.0,Pfaunloch bei Nördlingen,,"48,850696","10,435048",1480,1480,WOD,Schwaben,,au,,10.435048,48.850696,1480.0,1.0
2.0,Querscheid (Saar),,"49,324444","7,051111",1466,1466,WMD,WMD,,au,,7.051111,49.324444,1466.0,1.0
3.0,Raesfeld,,"51,766667","6,833333",1575,1575,NDT,Westfalen,,au,,6.833333,51.766667,1575.0,1.0
6.0,Raschenberg bei Traunstein,,"47,846908","12,784273",1671,1671,OOD,Baiern,,au,,12.784273,47.846908,1671.0,1.0
1.0,Reingau Landrecht,,"49,979021","7,923435",1390,Ende 14. Jh.,WMD,WMD,,au,,7.923435,49.979021,1390.0,1.0
6.0,Remlingen bei Wertheim,,"49,804444","9,694167",1409,1409,MDT,Franken,,au,,9.694167,49.804444,1409.0,1.0
4.0,Sanct Blasien Hof am Schluchsee,,"47,761944","8,128333",1373,1373,WOD,Schwaben,,u,,8.128333,47.761944,1373.0,0.0
4.0,Sanct Blasien Waldamt,,"47,761944","8,128333",1383,1383,WOD,Schwaben,,u,,8.128333,47.761944,1383.0,0.0
3.0,Sandwell bei Horstmar,,"52,08","7,31",1566,1566,NDT,Westfalen,,au,,7.31,52.08,1566.0,1.0
5.0,Schifferstadt,,"49,38611111","8,376111111",1642,Abschrift 1642,WMD,WMD,,au,,8.376111111,49.38611111,1642.0,1.0
2.0,Schillingen Waldweiler,,"49,634261","6,784994",1549,1549,WMD,WMD,,au,,6.784994,49.634261,1549.0,1.0
2.0,Schleiden (Prüm),,"50,53","6,476389",1547,1547,WMD,WMD,,au,,6.476389,50.53,1547.0,1.0
4.0,Schönau Sondergüter,,"47,786667","7,894167",1352,1352,WOD,Schwaben,,u,,7.894167,47.786667,1352.0,0.0
4.0,Schönau Todtnau Wiesenthal,,"47,786667","7,894167",1519,1519,WOD,Schwaben,,au,,7.894167,47.786667,1519.0,1.0
5.0,Schwarzwald,,48,8,1484,1484,WOD,Baden,,u,,8.0,48.0,1484.0,0.0
