Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
1.0,Roggwil bei Arwangen Bern,,"47,241667","7,823623",1450,15. Jh.,CH,CH,i,,,7.823623,47.241667,1450.0,0.0
1.0,Rorschach am Bodensee,,"47,478814","9,493842",1469,1469,CH,CH,i,,,9.493842,47.478814,1469.0,0.0
1.0,Ruseck (Aargau),Aue R�ssegg,"47,212555","8,399435",1423,1423,CH,CH,i,,,8.399435,47.212555,1423.0,0.0
3.0,Salzschlirf,,"50,62","9,51",1506,1506,MDT,Hessen,i,,,9.51,50.62,1506.0,0.0
1.0,Sanct Blasien,,"47,761944","8,128333",1383,1383,WOD,Schwaben,i,au,,8.128333,47.761944,1383.0,0.0
1.0,Sanct Peter (Hochschwarzwald),,"48,016389","8,0325",1453,1453-1484,WOD,Schwarzwald,i,u,,8.0325,48.016389,1453.0,0.0
4.0,Sankt Blasisches Waldamt St. Blasien,,"47,761944","8,128333",1383,1383,WOD,Schwaben,i,,,8.128333,47.761944,1383.0,0.0
4.0,Sansbach,,"48,139444","7,617222",1432,1432,WOD,Schwaben,i,,,7.617222,48.139444,1432.0,0.0
2.0,Satzvei,Satzvey,"50,621389","6,707778",1506,1506,WMD,WMD,i,,,6.707778,50.621389,1506.0,0.0
1.0,Schafheim,Schaafheim,"49,925155","9,004505",1475,1475,MDT,MDT,i,,,9.004505,49.925155,1475.0,0.0
1.0,Schwarzach,M�nster Schwarzach,"48,745833","8,047778",1250,13. Jh.,WOD,Schwarzwald,i,,,8.047778,48.745833,1250.0,0.0
3.0,Sebold,,"50,18","9,04",1407,1407,MDT,Hessen,i,,,9.04,50.18,1407.0,0.0
1.0,Seligenstadt,,"50,044097","8,975347",1390,1390,MDT,MDT,i,,,8.975347,50.044097,1390.0,0.0
1.0,Seligenstadt,,"50,044097","8,975347",1429,1429,MDT,MDT,i,,,8.975347,50.044097,1429.0,0.0
1.0,Seligenstadt,,"50,044097","8,975347",1435,1435,MDT,MDT,i,,,8.975347,50.044097,1435.0,0.0
1.0,Selse Selz,Seltz,"48,894167","8,106944",1310,1310,Elsass,Elsass,i,u,,8.106944,48.894167,1310.0,0.0
4.0,Sennheim,,"47,806667","7,175833",1354,1354,Elsass,Elsass,i,,,7.175833,47.806667,1354.0,0.0
1.0,Siglingen,,"49,3004","9,3067",1470,1470,MDT,MDT,i,,,9.3067,49.3004,1470.0,0.0
4.0,Sigolsheim,,"48,134444","7,301111",1407,1407,Elsass,Elsass,i,,,7.301111,48.134444,1407.0,0.0
1.0,Sigolzheim,,"48,134444","7,301111",1320,1320,Elsass,Elsass,i,,,7.301111,48.134444,1320.0,0.0
6.0,"Sponheim oder Spanheim, Kloster",,"49,845833","7,726389",1488,1488,WMD,WMD,i,,,7.726389,49.845833,1488.0,0.0
4.0,St. Gilgen Thürkheim,,"48,086389","7,280556",1350,14. Jh.,Elsass,Elsass,i,,,7.280556,48.086389,1350.0,0.0
4.0,St. Lükart,,"47,596667","7,222222",1354,1354,Elsass,Elsass,i,,,7.222222,47.596667,1354.0,0.0
1.0,Stäfa am Zürcher See,,"47,241941","8,722496",1450,15. Jh.,CH,CH,i,,,8.722496,47.241941,1450.0,0.0
5.0,Struth,,49,7,1585,1585,WMD,Elsass,i,,,7.0,49.0,1585.0,0.0
5.0,Sulze,,"47,885833","7,229167",1300,1300,Elsass,Elsass,i,,,7.229167,47.885833,1300.0,0.0
1.0,Tablatt bei St Gallen,,"47,4369","9,405",1471,1471,CH,CH,i,,,9.405,47.4369,1471.0,0.0
4.0,Tätwil Aargau,,"47,45259","8,28515",1456,1456,CH,CH,i,u,,8.28515,47.45259,1456.0,0.0
4.0,Thayngen bei Schaffhausen,,"47,746827","8,708725",1444,1444,CH,CH,i,u,,8.708725,47.746827,1444.0,0.0
5.0,Thundorf,Thundorf TG,"47,547225","8,964722",1463,1463,CH,CH,i,u,,8.964722,47.547225,1463.0,0.0
2.0,Trier,,"49,7596","6,6439",1565,1565,WMD,WMD,i,,,6.6439,49.7596,1565.0,0.0
6.0,Twann,,"47,0947","7,1562",1426,1426,CH,CH,i,u,,7.1562,47.0947,1426.0,0.0
5.0,Ueszlingen,Uesslingen,"47,5816","8,8327",1420,1420,CH,CH,i,u,,8.8327,47.5816,1420.0,0.0
5.0,Uffrieth,Sessenheim,"48,797222","7,986389",1528,1528,Elsass,Elsass,i,,,7.986389,48.797222,1528.0,0.0
3.0,Ufhausen bei Eiterfeld,,"50,76","9,8",1501,1501,MDT,Hessen,i,,,9.8,50.76,1501.0,0.0
3.0,Ufhausen bei Eiterfeld,,"50,76","9,8",1511,1511,MDT,Hessen,i,,,9.8,50.76,1511.0,0.0
1.0,Ütenheim,Ittenheim,"48,604167","7,594444",1550,16. Jh.,Elsass,Elsass,i,,,7.594444,48.604167,1550.0,0.0
2.0,Veihe,Weyer (Mechernich),"50,53779","6,651492",1395,1395,WMD,WMD,i,,,6.651492,50.53779,1395.0,0.0
3.0,Vttingen,Uttingen,"49,8","9,73",1410,1410,MDT,Franken,i,,,9.73,49.8,1410.0,0.0
4.0,Wattwiller bei Thann,,"47,836389","7,180278",1397,1397,Elsass,Elsass,i,,,7.180278,47.836389,1397.0,0.0
1.0,Weitnau,,"47,678165","7,76581",1344,1344,WOD,Schwarzwald,i,u,,7.76581,47.678165,1344.0,0.0
4.0,Werentzhausen bei Altkirch,,"47,516944","7,3575",1420,1420,Elsass,Elsass,i,,,7.3575,47.516944,1420.0,0.0
1.0,Westerwald,,"50,661139","8,101472",1495,1495,MDT,MDT,i,,,8.101472,50.661139,1495.0,0.0
4.0,Wiedikon bei Greifensee,,"47,361944","8,514722",1450,15. Jh.,CH,CH,i,u,,8.514722,47.361944,1450.0,0.0
3.0,Wincheringen (Mosel),,"49,607411","6,423947",1550,16. Jh.,WMD,WMD,i,,,6.423947,49.607411,1550.0,0.0
6.0,Wir bei Horburg,,"48,079444","7,394444",1598,1598,Elsass,Elsass,i,,,7.394444,48.079444,1598.0,0.0
2.0,Wolf,Wolf (Traben-Trarbach) ,"49,978563","7,103908",1450,15. Jh.,WMD,WMD,i,,,7.103908,49.978563,1450.0,0.0
2.0,Wolf bei Cröve (Mosel),,"49,978563","7,103908",1490,15. Jh. Ende,WMD,WMD,i,,,7.103908,49.978563,1490.0,0.0
5.0,Wollen,Wollen,47,8,1406,1406,CH,CH,i,,,8.0,47.0,1406.0,0.0
4.0,Wollerau Pfäffikon,,"47,195826","8,719449",1484,1484,CH,CH,i,,,8.719449,47.195826,1484.0,0.0
1.0,Zarten,Kirchzarten,"47,96499","7,95708",1397,1397,WOD,Schwarzwald,i,u,,7.95708,47.96499,1397.0,0.0
1.0,Zimersheim (bei Habsheim),,"47,719722","7,388056",1483,1483,Elsass,Elsass,i,,,7.388056,47.719722,1483.0,0.0
4.0,Zimmerbach bei Münster,,"48,072778","7,236944",1450,15. Jh.,Elsass,Elsass,i,,,7.236944,48.072778,1450.0,0.0
2.0,Aach,Aach (Hegau),"47,845556","8,851667",1550,1550,WOD,WMD,ei,,,8.851667,47.845556,1550.0,1.0
2.0,Alflen,ggf Alf,"50,176959","7,040473",1507,1507,WMD,WMD,ei,,,7.040473,50.176959,1507.0,1.0
3.0,Alken (Mosel),,"50,245833","7,448611",1578,1578 Abschrift 18. Jh.,WMD,WMD,ei,,,7.448611,50.245833,1578.0,1.0
6.0,Allerheim,,"48,84455","10,61892",1353,1353,WOD,Schwaben,ei,au,,10.61892,48.84455,1353.0,1.0
1.0,Alsenzbruck,Alsenbrück-Langmeil,"49,565","7,881944",1507,1507,WMD,WMD,ei,au,,7.881944,49.565,1507.0,1.0
3.0,Altenhaslau,Altenhaßlau (Linsengericht),"50,18973","9,19425",1354,1354,MDT,Hessen,ei,,,9.19425,50.18973,1354.0,1.0
3.0,Altenhaslau,Altenhaßlau (Linsengericht),"50,18973","9,19425",1461,1461,MDT,Hessen,ei,,,9.19425,50.18973,1461.0,1.0
2.0,Auen,Auen (Hunsrück) ,"49,831389","7,5975",1488,1488,WMD,WMD,ei,,,7.5975,49.831389,1488.0,1.0
2.0,Auwe (auf der Kill),,"49,901814","6,614631",1606,1606,WMD,WMD,ei,,,6.614631,49.901814,1606.0,1.0
4.0,Balschwiller,,"47,66888889","7,168333333",1413,1413,Elsass,Elsass,ei,,,7.168333333,47.66888889,1413.0,1.0
5.0,Barr,,"48,40805556","7,449722222",1361,1361,Elsass,Elsass,ei,,,7.449722222,48.40805556,1361.0,1.0
3.0,Barweiler (Eifel),,"50,3575","6,865278",1609,1609,WMD,WMD,ei,,,6.865278,50.3575,1609.0,1.0
3.0,Behrungen,Behrungen Grabfeld,"50,41","10,414444",1782,1782,MDT,Thüringen,ei,,,10.414444,50.41,1782.0,1.0
2.0,Besch,,"49,504722","6,374167",1541,1541,WMD,WMD,ei,,,6.374167,49.504722,1541.0,1.0
1.0,Bibelnheim,Beblenheim,"48,158333","7,3275",1529,1529,Elsass,Elsass,ei,au,,7.3275,48.158333,1529.0,1.0
4.0,Binzikon,,"47,284444","8,762504",1435,1435,CH,CH,ei,,,8.762504,47.284444,1435.0,1.0
5.0,Bischofsheim,,50,8,1503,1503,MDT,Hessen,ei,au,,8.0,50.0,1503.0,1.0
3.0,Bramsel Brasel,Barmen bei Schwelm,"51,275","7,2",1650,17.Jh.,NDT,Westfalen,ei,,,7.2,51.275,1650.0,1.0
2.0,Breisich,Bad Breisig,"50,509167","7,296389",1490,Ende 15. Jh,WMD,WMD,ei,,,7.296389,50.509167,1490.0,1.0
2.0,Buch,Buch (Hunsrück),"50,076411","7,3942",1551,1551,WMD,WMD,ei,,,7.3942,50.076411,1551.0,1.0
3.0,Bülfrigheim,P�lfringen,"49,581155","9,526485",1406,1406,MDT,Franken,ei,,,9.526485,49.581155,1406.0,1.0
2.0,Burtscheid (bei Aachen),,"50,763056","6,092222",1560,1560,WMD,WMD,ei,,,6.092222,50.763056,1560.0,1.0
2.0,Buschhoven,Buschhoven (Swisttal),"50,681944","6,978333",1547,1547,WMD,WMD,ei,au,,6.978333,50.681944,1547.0,1.0
2.0,Carden (Mosel),Treis-Karden,"50,178056","7,302222",1462,1462,WMD,WMD,ei,,,7.302222,50.178056,1462.0,1.0
2.0,Carden (Mosel),Treis-Karden,"50,178056","7,302222",1547,1547,WMD,WMD,ei,,,7.302222,50.178056,1547.0,1.0
2.0,Catharein Ostern,? Gegend Tholey,"49,483889","7,0375",1463,1463,WMD,WMD,ei,,,7.0375,49.483889,1463.0,1.0
3.0,Chiemsee,,"47,86194444","12,40111111",1462,1393-1462,OOD,Baiern,ei,au,,12.40111111,47.86194444,1462.0,1.0
2.0,Coenen,Könen,"49,679628","6,554058",1508,1508,WMD,WMD,ei,au,,6.554058,49.679628,1508.0,1.0
4.0,Dammerkirch Dannemarie,,"47,63","7,12",1578,1578,Elsass,Elsass,ei,,,7.12,47.63,1578.0,1.0
3.0,Diffenthal,Tiefenthal (Erlenbach bei Marktheidenfeld) ,"49,811667","9,658056",1449,1449,MDT,Franken,ei,,,9.658056,49.811667,1449.0,1.0
3.0,Dissen,,"52,11575","8,203417",1582,1582,NDT,Westfalen,ei,,,8.203417,52.11575,1582.0,1.0
3.0,Dockweiler (bei Daun),,"50,251944","6,7825",1550,16. Jh.,WMD,WMD,ei,,,6.7825,50.251944,1550.0,1.0
2.0,Dommershausen,,"50,143611","7,397778",1580,1580,WMD,WMD,ei,,,7.397778,50.143611,1580.0,1.0
1.0,Dörsdorf,D�rsdorf,"50,247439","8,010325",1523,1523,MDT,MDT,ei,,,8.010325,50.247439,1523.0,1.0
2.0,Dreiborn,Dreiborn (Schleiden) ,"50,545556","6,409722",1419,1419,WMD,WMD,ei,au,,6.409722,50.545556,1419.0,1.0
2.0,Dreys,,"49,941008","6,817278",1588,1588,WMD,WMD,ei,,,6.817278,49.941008,1588.0,1.0
3.0,Dünchenheim,,"50,23","7,14",1521,1521,WMD,Moselfränkisch,ei,,,7.14,50.23,1521.0,1.0
5.0,Ebersheimmuenster,,"48,311111","7,524167",1612,1612,Elsass,Elsass,ei,au,,7.524167,48.311111,1612.0,1.0
4.0,Eddersheim,,"50,0395","8,4717",1535,1535,MDT,Schwaben,ei,,,8.4717,50.0395,1535.0,1.0
3.0,Edingen (bei Echternach),,"49,8151","6,48911",1588,1588,WMD,WMD,ei,,,6.48911,49.8151,1588.0,1.0
6.0,Ehringen bei Nördlingen,,"48,877778","10,473889",1484,1484,WOD,Schwaben,ei,au,,10.473889,48.877778,1484.0,1.0
6.0,Eibelstadt,,"49,72388889","10,00083333",1396,1396,MDT,Franken,ei,au,,10.00083333,49.72388889,1396.0,1.0
2.0,Eidenborn Falscheid (Saar),,"49,39145","6,90512",1564,1564,WMD,WMD,ei,au,,6.90512,49.39145,1564.0,1.0
