"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
1,"Sanct Blasien",NA,"47,761944","8,128333","1383","1383","WOD","Schwaben","i","au","i",0,1383,8.128333,47.761944
1,"Sanct Peter (Hochschwarzwald)",NA,"48,016389","8,0325","1453","1453-1484","WOD","Schwarzwald","i","u","i",0,1453,8.0325,48.016389
4,"Sankt Blasisches Waldamt St. Blasien",NA,"47,761944","8,128333","1383","1383","WOD","Schwaben","i",NA,"i",0,1383,8.128333,47.761944
4,"Sansbach",NA,"48,139444","7,617222","1432","1432","WOD","Schwaben","i",NA,"i",0,1432,7.617222,48.139444
2,"Satzvei","Satzvey","50,621389","6,707778","1506","1506","WMD","WMD","i",NA,"i",0,1506,6.707778,50.621389
1,"Schafheim","Schaafheim","49,925155","9,004505","1475","1475","MDT","MDT","i",NA,"i",0,1475,9.004505,49.925155
1,"Schwarzach","M�nster Schwarzach","48,745833","8,047778","1250","13. Jh.","WOD","Schwarzwald","i",NA,"i",0,1250,8.047778,48.745833
3,"Sebold",NA,"50,18","9,04","1407","1407","MDT","Hessen","i",NA,"i",0,1407,9.04,50.18
1,"Seligenstadt",NA,"50,044097","8,975347","1390","1390","MDT","MDT","i",NA,"i",0,1390,8.975347,50.044097
1,"Seligenstadt",NA,"50,044097","8,975347","1429","1429","MDT","MDT","i",NA,"i",0,1429,8.975347,50.044097
1,"Seligenstadt",NA,"50,044097","8,975347","1435","1435","MDT","MDT","i",NA,"i",0,1435,8.975347,50.044097
1,"Selse Selz","Seltz","48,894167","8,106944","1310","1310","Elsass","Elsass","i","u","i",0,1310,8.106944,48.894167
4,"Sennheim",NA,"47,806667","7,175833","1354","1354","Elsass","Elsass","i",NA,"i",0,1354,7.175833,47.806667
1,"Siglingen",NA,"49,3004","9,3067","1470","1470","MDT","MDT","i",NA,"i",0,1470,9.3067,49.3004
4,"Sigolsheim",NA,"48,134444","7,301111","1407","1407","Elsass","Elsass","i",NA,"i",0,1407,7.301111,48.134444
1,"Sigolzheim",NA,"48,134444","7,301111","1320","1320","Elsass","Elsass","i",NA,"i",0,1320,7.301111,48.134444
