Band;Ort Grimm;Ort XY;Y;X;Jahr eigene;Jahr;Region eigene;Region Grimm;Wein;Haus;
2;Carden (bei Treis);;50,178056;7,302222;1462;1462;WMD;WMD;;;
2;Carden (Mosel);Treis-Karden;50,178056;7,302222;1462;1462;WMD;WMD;ei;;
2;Carden (Mosel);Treis-Karden;50,178056;7,302222;1547;1547;WMD;WMD;ei;;
2;Catharein Ostern;? Gegend Tholey;49,483889;7,0375;1463;1463;WMD;WMD;ei;;
3;Chiemsee;;47,86194444;12,40111111;1462;1393-1462;OOD;Baiern;ei;au;
2;Chorweiler bei Castellaun;;50,108333;7,416389;1602;1602;WMD;WMD;;;
6;Chuer (Niederfeld, bei Kobern Mosel);;;;1518;1518;WMD;WMD;i;;
1;Chur;;46,84829;9,53222;1450;15. Jh.;CH;CH;;;
2;Cleinich;Kleinich;49,892811;7,186069;NN;NN;WMD;WMD;ei;;
2;Clotten;;50,16666667;7,199722222;1435;1435;WMD;WMD;i;;
2;Clotten;;50,16666667;7,199722222;1446;1446;WMD;WMD;i;;
2;Clotten;;50,16666667;7,199722222;1511;1511;WMD;WMD;i;;
6;Clotten Untermosel;;50,16666667;7,199722222;1602;1602;WMD;WMD;i;;
6;Clotten Untermosel;;50,16666667;7,199722222;NN;NN;WMD;WMD;i;;
2;Clüsserath (Mosel);;49,844167;6,853889;1546;1546;WMD;WMD;;au;
2;Cobern (Mosel);;50,309167;7,455556;1585;1585;WMD;WMD;;au;
2;Cochenheim;;50,650556;6,828056;1596;1596;WMD;WMD;;;
2;Coenen;Könen;49,679628;6,554058;1508;1508;WMD;WMD;ei;au;
4;Coppenstein (Hundsrück);;;;1548;1548;WMD;WMD;;au;
2;Creutznach;Bad Kreuznach;49,846944;7,866944;NN;NN;WMD;WMD;ei;au;
3;Creuzberg an der Ahr;;50,51;6,98;1518;1518;WMD;WMD;;;
2;Creuznach (Bad Kreuznach);;49,846944;7,866944;NN;NN;WMD;WMD;;;
2;Crittenach und Obermennig;Krettnach;49,680651;6,64053;NN;NN;WMD;WMD;ei;;
2;Crittenach und Obermenning;;49,680651;6,64053;NN;NN;WMD;WMD;;;
2;Cröve (Mosel bei Bünderich);;49,977617;7,084564;NN;NN;WMD;WMD;ei;au;
1;Dachsen;;47,665556;8,618883;1532;1532;CH;CH;;u;
4;Dagmersellen bei Lucern;;47,213056;7,989455;1346;1346;CH;CH;i;u;
5;Dahlenheim;;;;NN;NN;Elsass;Elsass;ei;;
2;Daleiden (Prüm);;50,069722;6,182222;1650;17.Jh.;WMD;WMD;;au;
2;Dalheim bei Dudeldorf Prüm;;49,914639;6,592925;1472;1472;WMD;WMD;;au;
1;Dalsheim;Flörsheim-Dalsheim;49,656667;8,204444;NN;NN;WMD;WMD;ei;;
4;Dammerkirch Dannemarie;;47,63;7,12;1578;1578;Elsass;Elsass;ei;;
5;Dangolsheim Traenheim;;48,57138889;7,467222222;NN;NN;Elsass;Elsass;ei;;
1;Dankrotsheim Trenheim Dosenheim;;49,45;8,666667;NN;NN;Elsass;Elsass;i;;
5;Darstein (bei Ober-Schlettenbach);;;;1530;1530;Elsass;Elsass;ei;;
2;Daun;;50,19861111;6,831944444;1466;1466;WMD;WMD;;;
4;Deckwiller zerstörtes Dorf bei Reiningue;Reiningue;;;1497;1497;Elsass;Elsass;ei;;
3;Delbrück;;51,76666667;8,566666667;1750;18. Jh.;NDT;Westfalen;;;
2;Densborn bei Prüm und Schönecken;;50,126389;6,602778;1534;1534;WMD;WMD;i;;
3;Dernekamp bei Dülmen;;51,83;7,28;1603;1603;NDT;Westfalen;;;
5;Dettwiller;;;;1380;1380;Elsass;Elsass;i_ei;au;
4;Dickenhof;;;;NN;NN;Elsass;Elsass;ei;;
3;Dieffenthal;;49,8;9,6;1449;1449;MDT;Franken;;;
4;Dielsdorf bei Regensberg;;47,48;8,45;1556;1556;CH;CH;;;
